taxa,host,country,accession,organism,length,strain,location,date
BDI0002|cow|BDI|2022-05-17,cow,BDI,BDI0002,Rift Valley fever virus,1690,BDI0002,Ruyaga,2022-05-17
BDI0003|cow|BDI|2022-05-17,cow,BDI,BDI0003,Rift Valley fever virus,1690,BDI0003,Ngozi,2022-05-17
BDI0006|cow|BDI|2022-05-19,cow,BDI,BDI0006,Rift Valley fever virus,1690,BDI0006,Kobero,2022-05-19
BDI0008|cow|BDI|2022-05-19,cow,BDI,BDI0008,Rift Valley fever virus,1690,BDI0008,Kobero,2022-05-19
DQ380181|mosquito|BFA|1983-01-01,mosquito,BFA,DQ380181,Rift Valley fever virus,1691,ARD-38388,Fada-Ngourma,1983-01-01
DQ380167|human|CAF|1969-01-01,human,CAF,DQ380167,Rift Valley fever virus,1690,Zinga,Bangui,1969-01-01
DQ380172|human|CAF|1973-01-01,human,CAF,DQ380172,Rift Valley fever virus,1690,73HB1230,Ombella Mpoko,1973-01-01
DQ380162|human|CAF|1973-01-01,human,CAF,DQ380162,Rift Valley fever virus,1690,73HB1449,Ombella Mpoko,1973-01-01
DQ380161|human|CAF|1985-01-01,human,CAF,DQ380161,Rift Valley fever virus,1690,Hv-B375,Mbaiki,1985-01-01
DQ380160|human|CAF|1985-01-01,human,CAF,DQ380160,Rift Valley fever virus,1690,CAR-R1622,Bangui,1985-01-01
EU312138|human|EGY|1977-01-01,human,EGY,EU312138,Rift Valley fever virus,1690,ZH548EGY77,Sharqiya,1977-01-01
DQ380152|cow|EGY|1978-01-01,cow,EGY,DQ380152,Rift Valley fever virus,1690,ZC-3349,Asyut,1978-01-01
DQ380150|mosquito|EGY|1977-10-10,mosquito,EGY,DQ380150,Rift Valley fever virus,1689,T1,Sharqiya,1977-10-10
DQ380153|human|EGY|1978-01-01,human,EGY,DQ380153,Rift Valley fever virus,1690,ZH-1776,Gharbiya,1978-01-01
DQ380146|mosquito|EGY|1978-01-01,mosquito,EGY,DQ380146,Rift Valley fever virus,1690,ZM-657,Sharqiya,1978-01-01
DQ380147|mosquito|EGY|1977-11-12,mosquito,EGY,DQ380147,Rift Valley fever virus,1690,T-46 (228113),Sharqiya,1977-11-12
NC_014395|human|EGY|1977-01-01,human,EGY,NC_014395,Rift Valley fever virus,1690,ZH-548,Sharqiya,1977-01-01
DQ380145|sheep|EGY|1979-01-01,sheep,EGY,DQ380145,Rift Valley fever virus,1690,ZS-6365,Gharbiya,1979-01-01
DQ380165|bat|GIN|1981-01-01,bat,GIN,DQ380165,Rift Valley fever virus,1690,ANK-3837,Macenta,1981-01-01
EU574074|cow|KEN|2007-01-31,cow,KEN,EU574074,Rift Valley fever virus,1691,2007001292,Meru South,2007-01-31
HM586984|mosquito|KEN|2007-01-13,mosquito,KEN,HM586984,Rift Valley fever virus,1691,KEN/KLF-Msq091/07,Kilifi,2007-01-13
HM586983|mosquito|KEN|2006-12-29,mosquito,KEN,HM586983,Rift Valley fever virus,1691,KEN/Gar-Msq131B-04/06,Garissa,2006-12-29
HM586980|human|KEN|2007-01-30,human,KEN,HM586980,Rift Valley fever virus,1691,KEN/Bar-035/07,Kiserian,2007-01-30
EU574076|cow|KEN|2007-01-26,cow,KEN,EU574076,Rift Valley fever virus,1690,2007000665,Nyeri,2007-01-26
HM586979|human|KEN|2007-02-03,human,KEN,HM586979,Rift Valley fever virus,1691,KEN/Bar-032/07,Baringo,2007-02-03
HM586975|human|KEN|2006-12-21,human,KEN,HM586975,Rift Valley fever virus,1691,KEN/Gar-004/06,Garissa,2006-12-21
HM586978|human|KEN|2007-01-15,human,KEN,HM586978,Rift Valley fever virus,1691,KEN/Mal-032/07,Malindi,2007-01-15
EU574081|cow|KEN|2007-01-16,cow,KEN,EU574081,Rift Valley fever virus,1691,2007000226,Maragua,2007-01-16
EU574085|cow|KEN|2007-01-16,cow,KEN,EU574085,Rift Valley fever virus,1691,2007000222,Maragua,2007-01-16
HM586977|human|KEN|2007-01-05,human,KEN,HM586977,Rift Valley fever virus,1691,KEN/Kil-006/07,Kilifi,2007-01-05
HM586976|human|KEN|2006-12-21,human,KEN,HM586976,Rift Valley fever virus,1691,KEN/Gar-008/06,Garissa,2006-12-21
EU574087|cow|KEN|2007-01-12,cow,KEN,EU574087,Rift Valley fever virus,1691,2007000080,Maragua,2007-01-12
J10|human|KEN|2007-01-01,human,KEN,J10,Rift Valley fever virus,1690,J10,Baringo,2007-01-01
J8|human|KEN|2007-01-01,human,KEN,J8,Rift Valley fever virus,1690,J8,Baringo,2007-01-01
08HAB|cow|KEN|2018-01-01,cow,KEN,08HAB,Rift Valley fever virus,1660,08HAB,Wajir,2018-01-01
JF326198|mosquito|KEN|2007-01-01,mosquito,KEN,JF326198,Rift Valley fever virus,1691,2007000234,Garissa,2007-01-01
OM744371|cow|KEN|2021-07-15,cow,KEN,OM744371,Rift Valley fever virus,1690,DVS-321,Kiambu,2021-07-15
OM744370|cow|KEN|2021-07-15,cow,KEN,OM744370,Rift Valley fever virus,1689,DVS-230,Kiambu,2021-07-15
N12|human|KEN|2019-02-01,human,KEN,N12,Rift Valley fever virus,1690,N12,Nyandarua,2019-02-01
MSA|human|KEN|2007-01-01,human,KEN,MSA,Rift Valley fever virus,1690,MSA,Baringo,2007-01-01
MO-LE|human|KEN|2007-01-01,human,KEN,MO-LE,Rift Valley fever virus,1690,MO-LE,Nairobi,2007-01-01
MG659985|sheep|KEN|1972-01-01,sheep,KEN,MG659985,Rift Valley fever virus,1690,S35,Mombasa,1972-01-01
MG659984|cow|KEN|1962-01-01,cow,KEN,MG659984,Rift Valley fever virus,1691,B314,Makueni,1962-01-01
KX096940|mosquito|KEN|2006-01-01,mosquito,KEN,KX096940,Rift Valley fever virus,1692,Kenya-128b-15,Garissa,2006-01-01
KU978774|human|KEN|1998-01-04,human,KEN,KU978774,Rift Valley fever virus,1636,Ken 9800523,Garissa,1998-01-04
KEM-ND|human|KEN|2007-01-01,human,KEN,KEM-ND,Rift Valley fever virus,1690,KEM-ND,Baringo,2007-01-01
EU574072|cow|KEN|2007-01-29,cow,KEN,EU574072,Rift Valley fever virus,1690,2007001564,Muranga,2007-01-29
