Query,Lineage,aLRT,UFbootstrap,Length,Ns(%),Note,Year_first,Year_last,Countries
KX944809,H,100,100,1654,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312127,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
NG10,C,97,100,1661,3.67,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574076,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659952,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
DQ380176,L,93,96,1690,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
ON060783,C,97,100,1670,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
500618,C,97,100,1690,4.32,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659917,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
P100,C,98,100,1690,7.40,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196507,I,100,100,1691,0.00,assigned (bootstrap value >= 70),1955,1956,ZAF
ON060810,C,97,100,1680,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659933,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659976,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KX944810,H,100,100,1676,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312146,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312103,L,91,95,1690,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
DQ380152,A,97,99,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
BDI0007,C,97,100,1690,7.40,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HM586984,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HM586979,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659949,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
DQ380150,A,96,100,1689,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
P91,C,98,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060798,C,97,100,1670,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KM210508,K,95,97,1691,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
MG659989,M,88,95,1691,0.00,assigned (bootstrap value >= 70),1955,1955,ZAF
KX944812,K,96,85,1638,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
EU312144,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659931,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659974,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
DQ380149,A,95,100,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
EU574074,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659915,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659950,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312125,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196505,C,97,100,1689,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659990,N,98,100,1691,0.00,assigned (bootstrap value >= 70),1975,1987,MRT;SEN
MG659928,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312118,K,95,85,1691,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
DQ380174,L,92,96,1690,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
ON060812,C,97,100,1660,3.55,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P102,C,97,100,1690,6.57,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JQ820478,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196501,C,98,100,1689,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659911,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
