taxa,host,country,accession,organism,length,strain,location,date
BDI0008|cow|BDI|2022-05-19,cow,BDI,BDI0008,Rift Valley fever virus,6404,BDI0008,Kobero,2022-05-19
BDI0002|cow|BDI|2022-05-17,cow,BDI,BDI0002,Rift Valley fever virus,6404,BDI0002,Ruyaga,2022-05-17
BDI0003|cow|BDI|2022-05-17,cow,BDI,BDI0003,Rift Valley fever virus,6404,BDI0003,Ngozi,2022-05-17
BDI0006|cow|BDI|2022-05-19,cow,BDI,BDI0006,Rift Valley fever virus,6404,BDI0006,Kobero,2022-05-19
BDI0007|cow|BDI|2022-05-19,cow,BDI,BDI0007,Rift Valley fever virus,6404,BDI0007,Kobero,2022-05-19
DQ375399|mosquito|BFA|1983-01-01,mosquito,BFA,DQ375399,Rift Valley fever virus,6404,ARD-38388,Fada-Ngourma,1983-01-01
DQ375425|human|CAF|1973-01-01,human,CAF,DQ375425,Rift Valley fever virus,6404,73HB1230,Ombella Mpoko,1973-01-01
DQ375415|human|CAF|1974-01-01,human,CAF,DQ375415,Rift Valley fever virus,6404,74HB59,Ombella Mpoko,1974-01-01
DQ375419|human|CAF|1969-01-01,human,CAF,DQ375419,Rift Valley fever virus,6404,Zinga,Bangui,1969-01-01
DQ375423|human|CAF|1985-01-01,human,CAF,DQ375423,Rift Valley fever virus,6404,CAR-R1622,Bangui,1985-01-01
DQ375422|human|CAF|1985-01-01,human,CAF,DQ375422,Rift Valley fever virus,6404,Hv-B375,Mbaki,1985-01-01
DQ375409|mosquito|EGY|1978-01-01,mosquito,EGY,DQ375409,Rift Valley fever virus,6404,ZM-657,Sharqiya,1978-01-01
NC_014397|human|EGY|1977-01-01,human,EGY,NC_014397,Rift Valley fever virus,6404,ZH-548,Sharqiya,1977-01-01
DQ375412|cow|EGY|1978-01-01,cow,EGY,DQ375412,Rift Valley fever virus,6404,ZC-3349,Asyut,1978-01-01
DQ375411|human|EGY|1978-01-01,human,EGY,DQ375411,Rift Valley fever virus,6404,ZH-1776,Gharbiya,1978-01-01
DQ375405|mosquito|EGY|1977-01-01,mosquito,EGY,DQ375405,Rift Valley fever virus,6404,T-46 (228113),Sharqiya,1977-01-01
DQ375407|mosquito|EGY|1977-01-01,mosquito,EGY,DQ375407,Rift Valley fever virus,6404,T1,Sharqiya,1977-01-01
DQ375410|sheep|EGY|1979-01-01,sheep,EGY,DQ375410,Rift Valley fever virus,6404,ZS-6365,Gharbiya,1979-01-01
DQ375421|bat|GIN|1984-01-01,bat,GIN,DQ375421,Rift Valley fever virus,6404,ANK-6087,Macenta,1984-01-01
HM586958|human|KEN|2007-01-30,human,KEN,HM586958,Rift Valley fever virus,6404,KEN/Bar-035/07,Kiserian,2007-01-30
HM586957|human|KEN|2007-02-03,human,KEN,HM586957,Rift Valley fever virus,6404,KEN/Bar-032/07,Baringo,2007-02-03
HM586956|human|KEN|2007-01-15,human,KEN,HM586956,Rift Valley fever virus,6404,KEN/Mal-032/07,Malindi,2007-01-15
08HAB|cow|KEN|2018-01-01,cow,KEN,08HAB,Rift Valley fever virus,6404,08HAB,Wajir,2018-01-01
HM586961|mosquito|KEN|2006-12-29,mosquito,KEN,HM586961,Rift Valley fever virus,6404,KEN/Gar-Msq,Garissa,2006-12-29
HM586953|human|KEN|2006-12-21,human,KEN,HM586953,Rift Valley fever virus,6404,KEN/Gar-004/06,Garissa,2006-12-21
